編號,種類,等級,名稱,圖片,圖片檔案名稱,敘述,說明,花費(能量水晶),攻擊,血量,進化,備註
1,角色,傳說,千葉櫻 ,身穿性感氣質禮服的年輕美女,,"第一偵查小隊「預言」的攻擊手
精通各種武器及格鬥技術
太陽系無限制武器單挑賽冠軍
「男人只會影響我拔劍的速度」",,無,無,30,,"外表優雅而性感的美女，但是意外的耿直，23歲
在一眾天才中並不出色，靠著努力成為世界冠軍
以反人類的速度及敏捷著稱"
2,角色唯一牌,傳說,星河之淚,水滴形狀的寶石項鍊,,"千葉櫻的專屬武器
每回合可花費2能量水晶召喚一個0/2水滴
水滴存在場上時所有法術數值增加X倍
X=水滴的血量",,無,無,無,花費3/4/5能量水晶召喚一個0/3-0/4-0/5水滴,
3,召喚物,無,水滴,水滴,,"水滴存在場上時所有法術數值增加X倍
X=增幅水滴的血量
「攻擊物是水滴！」",,無,無,無,無,
4,法術牌,普通,重力球,龍之谷重力球,,"吸引目標及相鄰的召喚物
「發射，聚怪，碰！」",吸引：被吸引的所有召喚物任何一隻被攻擊，所有召喚物受到同樣傷害,1,無,無,能量水晶0,
5,法術牌,普通,光之槍,龍之谷光法術,,造成2點傷害,,1,無,無,造成3點傷害,
6,法術牌,普通,光盾,LOL光盾,,增加2點護盾,,1,無,無,增加3點護盾,
7,法術牌,普通,初級治癒術,爐石治癒術,,回復召喚物1點血量,,1,無,無,回復召喚物2點血量,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
